15
-1	8	70	84	34	61	42	57	73	77	60	27	53	7	69	
8	-1	56	23	38	36	31	79	5	58	16	33	55	71	60	
17	56	-1	89	21	99	64	41	7	15	91	4	76	8	60	
26	25	73	-1	19	54	63	72	46	93	96	81	40	37	66	
98	73	92	27	-1	23	27	47	37	78	1	71	30	15	67	
88	84	8	74	65	-1	38	87	80	98	22	43	26	63	58	
30	8	92	97	94	29	-1	16	26	15	8	20	17	2	35	
31	38	25	18	89	12	69	-1	55	29	65	43	57	78	29	
76	40	45	34	82	63	31	21	-1	41	89	78	47	41	30	
9	65	23	63	34	69	1	72	98	-1	30	34	13	56	27	
21	6	11	51	6	91	49	5	31	89	-1	34	20	100	84	
56	23	24	92	50	99	79	66	35	65	4	-1	47	57	98	
87	9	32	77	65	47	30	56	15	94	56	79	-1	1	2	
88	26	90	60	17	66	71	1	20	53	11	42	12	-1	21	
70	27	74	27	16	32	82	49	60	56	5	15	31	7	-1	
