weight;time;mutation;popsize;index
1847;120;2;20;0
1832;120;2;20;1
1923;120;2;20;2
1921;120;2;20;3
1923;120;2;20;4
1981;120;2;20;5
1881;120;2;20;6
1939;120;2;20;7
1937;120;2;20;8
1842;120;2;20;9
1921;120;2;100;0
2023;120;2;100;1
2096;120;2;100;2
1869;120;2;100;3
1956;120;2;100;4
2035;120;2;100;5
2048;120;2;100;6
1987;120;2;100;7
2053;120;2;100;8
1814;120;2;100;9
2107;120;2;1000;0
2581;120;2;1000;1
2367;120;2;1000;2
2717;120;2;1000;3
2374;120;2;1000;4
2235;120;2;1000;5
2175;120;2;1000;6
2329;120;2;1000;7
2046;120;2;1000;8
2207;120;2;1000;9
