weight;time;mutation;popsize;index
3275;240;1;20;0
3194;240;1;20;1
3230;240;1;20;2
3281;240;1;20;3
3186;240;1;20;4
3280;240;1;20;5
3157;240;1;20;6
3110;240;1;20;7
3237;240;1;20;8
3225;240;1;20;9
4470;240;1;100;0
4489;240;1;100;1
4406;240;1;100;2
4439;240;1;100;3
4371;240;1;100;4
4343;240;1;100;5
4430;240;1;100;6
4461;240;1;100;7
4416;240;1;100;8
4309;240;1;100;9
5324;240;1;1000;0
5240;240;1;1000;1
5239;240;1;1000;2
5355;240;1;1000;3
5384;240;1;1000;4
5361;240;1;1000;5
5455;240;1;1000;6
5498;240;1;1000;7
5328;240;1;1000;8
5635;240;1;1000;9
