weight;time;mutation;popsize;index
4347;180;1;20;0
5039;180;1;20;1
4306;180;1;20;2
4146;180;1;20;3
4834;180;1;20;4
4643;180;1;20;5
4148;180;1;20;6
4303;180;1;20;7
4313;180;1;20;8
4360;180;1;20;9
8151;180;1;100;0
8164;180;1;100;1
8553;180;1;100;2
7880;180;1;100;3
7677;180;1;100;4
8256;180;1;100;5
7779;180;1;100;6
7824;180;1;100;7
8291;180;1;100;8
7624;180;1;100;9
13023;180;1;1000;0
12697;180;1;1000;1
13572;180;1;1000;2
13290;180;1;1000;3
13442;180;1;1000;4
12386;180;1;1000;5
13490;180;1;1000;6
12506;180;1;1000;7
11582;180;1;1000;8
13225;180;1;1000;9
