190,8;
178,7;
180,6;
185,1;
171,6;
170,2;
169,3;
187,8;
177,1;
170,8;
169,5;
192,4;
168,8;
224,3;
182,4;
189,2;
185,2;
180,3;
190,3;
184,9;
188,9;
169,1;
181,2;
172,9;
171,6;
169,3;
205,4;
169,1;
168,5;
167,8;
167,6;
166,5;
166,6;
166,5;
166,2;
183,9;
174,3;
170,4;
168,7;
168,4;
186,9;
166,5;
182,6;
194,9;
195,5;
178,7;
175,7;
191,4;
183,5;
187,2;
171,6;
170,2;
168,2;
170,2;
167,8;
167,3;
188,8;
206,1;
167,2;
171;
171;
169,5;
168,2;
178,6;
167,6;
181,6;
177,1;
183,3;
179;
168,1;
184,6;
166,1;
184,1;
190;
180;
182,1;
168,5;
169,8;
167,7;
167,2;
194,2;
167,7;
171,6;
166,7;
172,8;
166,5;
166;
180;
166;
165,5;
166,7;
175;
178,8;
175;
181,3;
168,9;
167,3;
176,4;
172;
170;
