533,6;
449,9;
427,2;
422,7;
424,7;
417,9;
416;
419,1;
421,7;
426,9;
413,9;
416,6;
408,2;
422,9;
430,8;
428,2;
410;
411,5;
412,3;
431,8;
460,1;
427,1;
412,8;
413,3;
434;
421,5;
430,3;
413;
413,8;
438,6;
413;
410,3;
424,6;
412,6;
417,4;
419,2;
409,9;
406,2;
418,6;
420,8;
577,4;
446,1;
420,7;
417,1;
414,3;
418,7;
425,9;
423,7;
410,9;
412,1;
427,6;
416,2;
405,7;
424;
418;
416,1;
412,4;
434,7;
412,9;
481,8;
421,8;
429,3;
410,1;
412,4;
421,8;
408,9;
424,8;
424;
413,9;
419,5;
412,4;
411,9;
427,9;
415,6;
411,1;
409,9;
430,1;
406,4;
605,8;
420,6;
419;
428,6;
419,7;
412,4;
412,4;
417,3;
420,5;
417;
413,6;
408,6;
416,1;
411,9;
409,2;
414,4;
417,3;
425;
491,6;
433,9;
409,8;
409,5;
