994,3;
962,2;
961;
976,9;
964,4;
965;
964,3;
970,3;
1011,6;
970,1;
980,4;
963,2;
976,7;
956,4;
973,3;
972;
953,6;
958,1;
976,9;
1158,3;
1073,9;
1448,9;
1038,1;
1021;
1019,8;
1032,8;
1023,2;
1027,9;
1038,8;
1025;
1032,8;
1016,5;
1023,8;
1019,7;
1017,3;
1027,1;
1034,8;
1026,1;
1023,5;
1018,3;
1030,3;
1025,5;
1027,4;
1028,7;
1021;
1025,9;
1025,2;
1021,5;
1032,2;
1103,2;
1038,5;
1021,7;
1030,7;
1024,6;
1027,5;
1023,2;
1023,1;
985,7;
1001,5;
1051,3;
999,9;
980,3;
986,3;
983;
1011;
986,6;
995;
985,6;
981;
979,9;
1411,4;
991,8;
979,6;
992,9;
997,7;
991,5;
985,5;
977,3;
1000,8;
979,9;
1031,4;
1015;
986,9;
987,5;
988,6;
994,9;
991;
991,7;
985,4;
977,1;
994;
1117,1;
1010;
986,5;
1035,6;
982,7;
980,1;
988,4;
1003,8;
977;
